gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76924.07402364536	3.0719183871746036	0.15547905658843525	19.757763229205864	6.878604950449061e-87	1.575200533652835e-84
ENSG00000154734	22862.22519146941	3.4419800268193685	0.17970264484797094	19.153752743768994	9.005703210561979e-82	1.0311530176093466e-79
ENSG00000154723	7342.896559095749	2.5822739820505936	0.16404609727315664	15.74114852455645	7.899672979835555e-56	6.03008370794114e-54
ENSG00000180509	30225.59283148437	2.9436747173216746	0.2002618708041554	14.699127225274049	6.5295864400065574e-49	3.7381882369037543e-47
ENSG00000183145	9991.423317613526	2.8907558685506562	0.24893287744729892	11.612591708231278	3.5566909775343007e-31	1.6289644677107096e-29
ENSG00000276289	11796.912522673229	2.8602783612371523	0.46530244451383235	6.147138049587708	7.889346178483484e-10	3.0111004581211964e-8
ENSG00000277277	724.523621573849	0.928478586498398	0.26395992906171456	3.51749824224766	4.3563523577782985e-4	0.014251495570446148
ENSG00000185437	2257.334339066037	0.5176935831106727	0.19135248559772164	2.7054447790085914	0.0068212988385438445	0.19525967925331755
ENSG00000160188	1876.1643549560279	-0.5375235663942988	0.21927091844578903	-2.451412937950512	0.01422966050332999	0.3445921703774588
ENSG00000154719	1373.3768250044486	-0.5886673308282494	0.24212745378554795	-2.431229179610634	0.015047693029583356	0.3445921703774588
ENSG00000157557	3474.189952324065	-0.49082971899621325	0.21037431741833085	-2.3331256639097955	0.01964155086549779	0.38653917442147484
ENSG00000160207	885.3094022578699	0.6330564785371517	0.2741832694555879	2.3088807708586097	0.020950198314784726	0.38653917442147484
ENSG00000177692	2181.383809769178	0.45965639743953923	0.2006051978917175	2.291348391120215	0.0219432719103894	0.38653917442147484
ENSG00000186930	103.42295196366197	-1.1264664869302903	0.5638657159959846	-1.9977566554841084	0.04574304861270061	0.702666205147204
ENSG00000205929	1354.6072438962115	0.4731659399941318	0.2371576948081829	1.9951532265349277	0.046026170642829954	0.702666205147204
ENSG00000184012	5523.6531712265605	-0.39787869167010353	0.20881968444946744	-1.9053696624390155	0.05673203589274184	0.8063442022521169
ENSG00000183036	968.7269342635263	-0.5298969074444498	0.2815865243935209	-1.8818262293827381	0.0598596132676244	0.8063442022521169
ENSG00000187175	207.68848322555502	0.7785341058206237	0.4417479628186922	1.7623943319466069	0.07800269563520454	0.9147219186990959
ENSG00000166265	1222.4995101675242	0.5309063906994715	0.30136493587701335	1.7616727346015257	0.0781246070772599	0.9147219186990959
ENSG00000159128	2810.001082732278	0.34645691758529307	0.19782457133309153	1.7513340999583844	0.07988837717896034	0.9147219186990959
ENSG00000244624	102.06844282411025	0.9876150026468625	0.5743744879498229	1.7194618204093008	0.08553031390396132	0.9226779270907635
ENSG00000274391	3083.250593512916	0.2882034841681948	0.1731951551508433	1.66403895026501	0.09610464583187019	0.9226779270907635
ENSG00000154721	3847.5956658466744	-0.3241791384567194	0.19683987074914797	-1.6469180619908665	0.09957488882472297	0.9226779270907635
ENSG00000197683	369.27854070961035	-0.68410987471362406	0.42158538019249886	-1.6227077760648498	0.10465188831585699	0.9226779270907635
